Date,1,2,3,4,5,6,7,8,9
2018-08-31,0,0,0,0,3,1,0,0,0
2018-09-01,0,0,0,0,0,0,0,0,0
2018-09-02,0,0,0,0,0,0,5,0,0
2018-09-03,0,0,1,1,3,4,0,1,0
2018-09-04,0,0,0,0,24,3,13,2,0
2018-09-05,1,2,0,0,16,5,8,4,6
2018-09-06,0,0,0,0,5,2,0,2,0
2018-09-07,0,0,2,0,0,1,7,4,0
2018-09-08,0,0,0,1,5,0,0,0,0
2018-09-09,0,0,0,0,0,0,0,0,0
2018-09-10,0,0,0,0,0,0,0,0,0
2018-09-11,0,0,6,0,6,0,12,4,6
2018-09-12,0,0,0,0,3,0,0,0,0
2018-09-13,0,0,1,4,8,3,7,1,0
2018-09-14,4,0,0,4,6,5,6,2,0
2018-09-15,0,0,0,0,71,0,0,0,0
2018-09-16,0,0,0,0,5,0,1,5,0
2018-09-17,0,0,3,0,0,4,0,20,16
2018-09-18,0,0,6,0,11,9,5,40,32
2018-09-19,0,0,0,0,1,1,1,0,0
2018-09-20,0,0,3,0,3,1,1,2,0
2018-09-21,0,0,0,0,2,2,3,0,3
2018-09-22,0,0,0,0,23,0,0,25,0
2018-09-23,0,0,0,0,0,0,0,0,0
2018-09-24,0,0,0,2,43,0,3,0,0
2018-09-25,0,2,2,4,3,0,2,3,4
2018-09-26,0,0,0,0,3,3,4,4,5
2018-09-27,0,0,2,0,7,1,2,0,1
2018-09-28,0,0,0,0,5,2,0,0,0
2018-09-29,0,0,0,0,0,0,4,0,0
2018-09-30,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,6,0,0
2018-10-02,0,2,0,0,7,1,2,0,1
2018-10-03,0,0,0,0,0,0,2,0,0
2018-10-04,0,0,0,0,4,2,1,3,1
2018-10-05,0,0,0,0,0,0,2,0,0
2018-10-06,0,0,0,0,11,0,5,5,0
2018-10-07,0,0,0,0,0,0,0,0,0
2018-10-08,0,1,1,0,1,0,0,1,0
2018-10-09,0,0,0,0,3,0,3,0,0
2018-10-10,0,0,0,0,3,2,2,0,4
2018-10-11,0,3,2,1,17,5,9,0,0
2018-10-12,0,1,0,0,11,5,9,1,0
2018-10-13,0,0,0,0,4,0,0,0,0
2018-10-14,0,0,0,0,0,0,0,0,0
2018-10-15,0,0,0,0,0,0,0,0,0
2018-10-16,0,0,0,2,10,8,2,0,0
2018-10-17,0,0,2,1,4,0,1,1,0
2018-10-18,0,0,0,1,16,0,11,2,0
2018-10-19,0,0,0,0,1,1,0,0,0
2018-10-20,0,0,0,0,0,0,0,0,0
2018-10-21,0,0,0,0,0,0,0,0,0
2018-10-22,0,0,1,0,7,4,0,9,5
2018-10-23,0,0,0,4,4,2,5,0,0
2018-10-24,0,0,0,0,1,1,13,4,5
2018-10-25,0,0,0,0,5,0,15,7,13
2018-10-26,0,12,8,2,5,1,2,3,8
2018-10-27,0,0,0,0,0,0,0,0,0
2018-10-28,0,0,1,0,0,2,0,0,0
2018-10-29,0,1,0,0,2,1,3,0,0
2018-10-30,0,3,5,0,1,0,1,2,0
2018-10-31,0,0,0,1,3,9,9,3,2
2018-11-01,2,0,0,4,18,0,8,1,0
2018-11-02,0,0,3,0,3,0,5,1,0
2018-11-03,0,0,0,0,0,0,0,0,0
2018-11-04,0,0,0,0,0,0,0,0,0
2018-11-05,0,0,0,0,4,4,1,3,4
2018-11-06,0,0,0,0,2,1,3,5,0
2018-11-07,0,0,0,0,1,1,1,3,0
2018-11-08,0,0,0,0,0,0,3,0,0
2018-11-09,0,0,0,0,3,3,0,0,0
2018-11-10,0,0,0,0,0,0,0,0,0
2018-11-11,0,0,5,0,0,5,1,0,0
2018-11-12,0,0,2,2,8,19,8,0,0
2018-11-13,0,0,0,0,1,1,6,2,0
2018-11-14,0,0,0,1,9,1,3,2,2
2018-11-15,0,0,0,26,39,0,18,7,5
2018-11-16,0,0,0,48,48,0,17,0,0
2018-11-17,0,0,0,0,2,0,0,0,0
2018-11-18,0,0,4,0,4,0,0,1,0
2018-11-19,0,0,0,0,4,3,0,0,9
2018-11-20,0,0,0,0,0,0,0,0,0
2018-11-21,0,0,0,0,52,4,0,0,4
2018-11-22,0,0,1,0,1,1,0,0,0
2018-11-23,0,6,2,2,0,0,4,0,0
2018-11-24,0,0,0,0,0,0,0,0,0
2018-11-25,0,0,4,0,4,4,2,0,0
2018-11-26,0,0,0,0,35,4,10,0,0
2018-11-27,0,0,0,0,1,2,5,0,0
2018-11-28,1,0,0,0,2,3,2,2,0
2018-11-29,0,3,0,3,0,0,1,0,1
2018-11-30,0,0,0,5,18,5,4,0,0
2018-12-01,0,0,0,0,0,0,0,0,0
2018-12-02,0,0,0,0,0,0,4,0,0
2018-12-03,0,0,4,0,12,3,3,4,6
2018-12-04,0,0,4,3,13,6,3,3,9
2018-12-05,0,0,1,0,7,1,0,0,0
2018-12-06,0,0,0,0,5,6,2,4,0
2018-12-07,0,0,0,0,3,1,1,0,1
2018-12-08,0,0,0,0,0,0,0,0,0
2018-12-09,0,0,0,0,5,2,0,0,0
2018-12-10,0,0,0,1,21,0,15,4,0
2018-12-11,0,0,0,0,6,0,6,2,0
2018-12-12,0,0,0,0,6,3,2,0,4
2018-12-13,0,0,1,1,6,1,0,0,2
2018-12-14,0,2,5,7,16,6,4,4,1
2018-12-15,0,0,0,0,5,0,5,0,0
2018-12-16,0,0,2,0,1,0,2,0,0
2018-12-17,0,0,2,0,5,3,2,1,0
2018-12-18,0,0,0,0,3,0,4,4,0
2018-12-19,0,0,0,0,0,0,0,0,0
2018-12-20,0,3,0,3,4,4,6,6,8
2018-12-21,0,0,0,0,1,1,1,0,0
2018-12-22,0,0,0,0,0,0,0,0,0
2018-12-23,0,0,0,0,0,0,0,0,0
2018-12-24,0,1,0,0,1,1,7,0,0
2018-12-25,0,0,0,0,4,0,0,0,0
2018-12-26,0,0,0,0,4,0,0,0,0
2018-12-27,0,0,0,0,1,2,0,0,0
2018-12-28,0,0,0,0,1,1,4,0,0
2018-12-29,0,0,0,0,0,0,0,0,0
2018-12-30,0,0,0,0,0,0,0,0,2
2018-12-31,0,0,0,0,2,0,0,0,0
2019-01-01,0,0,4,0,0,0,7,0,0
2019-01-02,0,0,0,0,0,0,0,0,0
2019-01-03,0,0,2,0,5,4,2,8,0
2019-01-04,0,0,0,0,1,1,0,4,0
2019-01-05,0,0,0,0,4,0,1,2,0
2019-01-06,0,0,0,0,5,0,1,0,1
2019-01-07,0,0,0,0,8,0,18,8,4
2019-01-08,0,0,0,0,11,1,7,1,0
2019-01-09,0,0,0,0,5,2,4,1,1
2019-01-10,0,0,0,0,0,0,0,0,0
2019-01-11,0,0,0,0,5,4,14,0,1
2019-01-12,0,0,0,0,0,0,0,0,0
2019-01-13,0,0,0,0,0,0,0,0,0
2019-01-14,0,0,0,2,5,0,4,0,1
2019-01-15,0,0,0,0,4,2,0,0,0
2019-01-16,0,0,6,5,37,6,9,10,4
2019-01-17,0,0,0,0,1,2,1,0,2
2019-01-18,0,0,0,0,4,0,1,0,0
2019-01-19,0,0,0,0,9,0,0,0,4
2019-01-20,0,0,0,0,0,0,0,0,0
2019-01-21,0,0,0,4,9,5,4,4,0
2019-01-22,0,0,5,0,1,1,1,0,0
2019-01-23,0,2,0,0,2,0,4,3,0
2019-01-24,0,0,1,1,3,1,4,8,0
2019-01-25,0,0,0,5,3,0,0,0,0
2019-01-26,0,0,0,0,0,0,0,0,0
2019-01-27,0,0,0,0,6,1,12,2,0
2019-01-28,0,0,0,0,4,5,0,10,0
2019-01-29,0,0,3,0,8,1,13,2,0
2019-01-30,0,0,2,0,1,0,0,6,0
2019-01-31,0,0,0,1,11,2,5,1,0
2019-02-01,0,0,0,0,5,2,0,4,0
2019-02-02,0,0,5,0,0,0,0,0,0
2019-02-03,0,5,0,0,0,0,10,0,0
2019-02-04,0,0,0,0,11,2,4,5,5
2019-02-05,0,0,0,0,0,0,0,0,0
2019-02-06,0,0,0,0,0,0,0,1,0
2019-02-07,0,0,0,1,4,4,4,14,2
2019-02-08,0,0,0,0,2,0,0,0,0
2019-02-09,0,0,0,0,4,0,0,2,0
2019-02-10,0,0,0,0,3,0,3,3,0
2019-02-11,0,0,0,0,11,0,1,0,2
2019-02-12,0,0,4,0,4,0,0,0,0
2019-02-13,1,0,4,4,5,2,0,4,2
2019-02-14,0,0,0,1,2,2,2,2,0
2019-02-15,0,0,0,0,2,1,0,1,0
2019-02-16,0,0,0,0,0,0,0,4,0
2019-02-17,0,0,0,0,0,3,5,8,0
2019-02-18,0,0,0,0,0,0,0,0,1
2019-02-19,0,0,3,0,4,5,4,0,0
2019-02-20,0,0,0,0,4,1,0,3,0
2019-02-21,0,0,0,0,4,1,0,4,4
2019-02-22,0,0,1,1,3,0,0,0,0
2019-02-23,0,0,0,0,0,0,0,0,0
2019-02-24,0,0,0,0,3,6,3,3,0
2019-02-25,0,0,1,0,4,4,5,5,0
2019-02-26,0,0,0,0,10,0,6,23,0
2019-02-27,0,0,0,5,7,1,8,2,0
2019-02-28,0,1,0,0,9,1,1,4,0
2019-03-01,0,0,0,0,4,0,0,0,0
2019-03-02,0,0,0,0,5,0,0,0,0
2019-03-03,0,0,0,0,0,0,2,0,0
2019-03-04,0,1,0,0,1,0,0,0,0
2019-03-05,0,0,1,0,8,0,0,0,0
2019-03-06,0,0,0,1,5,0,1,0,0
2019-03-07,0,0,1,0,6,0,3,2,0
2019-03-08,0,0,0,0,0,0,0,1,0
2019-03-09,0,0,0,0,0,0,3,0,0
2019-03-10,0,0,0,0,0,0,0,0,0
2019-03-11,0,2,2,2,8,0,2,0,0
2019-03-12,0,0,4,0,1,4,1,1,0
2019-03-13,0,0,0,0,0,0,2,0,0
2019-03-14,0,1,0,5,8,0,8,3,5
2019-03-15,0,2,1,0,8,5,4,0,0
2019-03-16,0,0,0,0,3,0,0,0,0
2019-03-17,0,0,0,0,0,0,0,0,0
2019-03-18,0,0,0,0,5,1,7,5,0
2019-03-19,0,0,0,0,2,3,1,0,2
2019-03-20,0,0,2,0,15,1,2,0,0
2019-03-21,0,7,2,10,31,3,22,8,0
2019-03-22,0,0,0,2,9,3,4,5,5
2019-03-23,0,0,0,0,0,0,0,0,0
2019-03-24,0,0,0,0,2,0,1,0,0
2019-03-25,0,0,0,0,12,6,15,3,0
2019-03-26,0,0,0,0,0,0,4,0,0
2019-03-27,0,0,0,0,5,0,0,1,1
2019-03-28,0,0,0,3,0,0,2,0,0
2019-03-29,0,0,0,2,2,0,7,0,0
2019-03-30,0,3,0,0,7,0,0,0,0
2019-03-31,0,0,0,0,0,0,0,0,0
2019-04-01,0,0,0,0,1,1,0,0,0
2019-04-02,2,0,0,0,4,0,0,2,0
2019-04-03,0,0,0,0,2,5,11,2,4
2019-04-04,0,0,0,0,4,3,4,0,1
2019-04-05,0,0,0,0,4,0,2,0,2
2019-04-06,0,0,0,0,0,0,0,0,0
2019-04-07,0,0,0,0,3,2,2,0,0
2019-04-08,0,0,0,0,0,0,4,0,0
2019-04-09,0,0,0,0,3,0,0,2,0
2019-04-10,0,0,0,0,1,0,3,1,0
2019-04-11,0,0,0,2,4,0,12,2,0
2019-04-12,0,0,5,0,13,0,2,0,0
2019-04-13,0,0,0,0,3,0,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,0
2019-04-15,0,0,0,0,6,0,3,0,0
2019-04-16,0,0,0,0,5,0,2,0,0
2019-04-17,0,0,0,4,4,7,6,2,0
2019-04-18,0,0,0,0,1,1,0,4,4
2019-04-19,0,0,0,0,5,5,0,0,0
2019-04-20,0,0,0,0,0,0,0,3,0
2019-04-21,0,0,1,0,0,0,2,0,0
2019-04-22,0,0,3,0,16,3,19,3,14
2019-04-23,0,0,0,0,2,0,0,3,1
2019-04-24,1,0,0,1,1,1,0,5,0
2019-04-25,0,0,0,0,1,1,1,0,0
2019-04-26,0,0,3,0,9,0,0,8,0
2019-04-27,0,0,0,0,0,0,0,0,0
2019-04-28,0,0,0,0,0,0,0,0,0
2019-04-29,0,0,0,0,6,0,2,0,0
2019-04-30,0,0,0,0,5,1,4,0,0
2019-05-01,0,0,0,4,0,4,0,0,0
2019-05-02,0,4,0,1,2,1,0,4,0
2019-05-03,0,0,0,0,4,1,2,0,0
2019-05-04,0,0,0,0,0,0,0,0,0
2019-05-05,0,0,0,0,0,0,0,0,0
2019-05-06,0,0,0,0,7,0,0,0,0
2019-05-07,0,0,0,0,4,2,0,0,0
2019-05-08,0,0,0,0,0,0,0,0,0
2019-05-09,0,0,0,1,2,0,0,3,0
2019-05-10,0,0,0,0,5,1,6,0,0
2019-05-11,0,0,3,0,0,0,4,0,0
2019-05-12,0,0,0,0,4,0,2,0,4
2019-05-13,0,3,1,5,23,0,19,15,0
2019-05-14,0,0,0,2,14,4,8,2,3
2019-05-15,0,0,0,0,0,0,10,0,4
2019-05-16,1,1,6,3,17,5,4,1,0
2019-05-17,0,0,0,0,15,1,0,0,6
2019-05-18,0,0,0,0,0,0,0,0,0
2019-05-19,0,0,0,0,1,1,0,0,4
2019-05-20,0,1,1,0,1,0,2,0,0
2019-05-21,0,1,0,0,0,0,0,0,0
2019-05-22,0,0,0,0,1,0,1,0,0
2019-05-23,1,0,0,0,1,0,1,0,0
2019-05-24,0,0,0,0,1,1,0,0,0
2019-05-25,0,0,0,0,0,0,1,0,0
2019-05-26,0,0,1,0,4,0,0,0,0
2019-05-27,0,0,0,0,12,2,1,0,0
2019-05-28,0,0,0,0,1,0,1,0,0
2019-05-29,0,0,0,0,5,0,1,0,0
2019-05-30,0,0,0,1,2,0,0,0,0
2019-05-31,3,0,0,0,3,0,0,3,0
2019-06-01,0,0,0,1,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,3,0
2019-06-03,0,0,2,0,7,0,10,4,5
2019-06-04,0,3,0,3,20,0,7,0,0
2019-06-05,4,0,4,0,21,4,8,12,9
2019-06-06,0,0,0,0,18,1,6,17,9
2019-06-07,0,0,4,4,12,0,12,1,0
2019-06-08,0,0,0,0,2,0,0,0,0
2019-06-09,0,0,0,0,1,0,0,0,0
2019-06-10,0,0,0,0,1,0,0,0,0
2019-06-11,0,0,0,2,0,0,4,0,0
2019-06-12,0,0,3,0,4,1,3,0,0
2019-06-13,0,0,0,1,3,1,2,0,0
2019-06-14,1,0,1,0,8,0,3,2,0
2019-06-15,0,3,0,0,2,4,1,0,0
2019-06-16,4,0,0,0,14,6,2,1,0
2019-06-17,0,0,0,0,4,4,4,0,0
2019-06-18,0,0,0,0,2,0,0,0,0
2019-06-19,0,0,0,1,2,1,0,2,0
2019-06-20,0,0,0,4,8,1,7,4,2
2019-06-21,0,0,0,0,1,0,0,4,4
2019-06-22,0,0,0,0,2,0,2,2,1
2019-06-23,0,0,0,0,8,0,3,0,0
2019-06-24,0,0,0,0,8,0,10,2,1
2019-06-25,0,0,0,0,0,0,2,0,0
2019-06-26,0,0,0,0,2,3,9,3,2
2019-06-27,0,0,0,0,1,0,2,0,4
2019-06-28,0,0,0,0,0,0,0,0,0
2019-06-29,0,0,0,0,2,0,4,0,0
2019-06-30,0,3,2,0,9,2,3,4,0
2019-07-01,0,8,17,6,10,9,13,12,0
2019-07-02,0,0,0,1,5,1,1,0,0
2019-07-03,0,4,0,6,3,5,3,1,1
2019-07-04,1,3,0,0,6,0,0,1,0
2019-07-05,0,3,0,0,4,0,5,0,0
2019-07-06,0,0,0,0,0,0,0,0,0
2019-07-07,0,0,0,4,0,0,3,0,0
2019-07-08,0,0,0,0,10,0,8,0,0
2019-07-09,0,3,0,0,11,6,0,0,4
2019-07-10,0,0,0,0,11,3,5,2,0
2019-07-11,0,0,0,0,1,2,1,0,0
2019-07-12,0,0,0,0,3,1,2,0,2
2019-07-13,0,0,0,0,0,0,2,0,0
2019-07-14,0,4,0,0,9,4,4,0,0
2019-07-15,0,2,0,0,0,6,6,0,2
2019-07-16,0,0,0,0,1,0,4,0,0
2019-07-17,0,0,0,0,13,4,9,0,3
2019-07-18,0,0,2,0,6,2,6,1,0
2019-07-19,0,1,2,0,9,2,2,4,0
2019-07-20,0,0,2,3,13,2,2,0,0
2019-07-21,0,0,0,0,3,0,7,0,0
2019-07-22,0,0,0,0,17,1,6,3,0
2019-07-23,0,0,0,0,14,0,2,0,1
2019-07-24,0,8,8,0,13,0,3,0,2
2019-07-25,0,0,6,0,14,6,0,6,0
2019-07-26,0,0,1,0,3,1,1,0,0
2019-07-27,0,0,0,0,0,0,0,0,0
2019-07-28,0,4,8,0,0,0,0,0,0
2019-07-29,0,4,0,0,0,1,8,0,0
2019-07-30,0,0,0,0,0,0,4,0,0
2019-07-31,0,0,0,0,35,1,0,5,0
2019-08-01,0,0,0,0,34,0,0,5,0
2019-08-02,0,0,4,0,13,1,0,2,0
2019-08-03,0,0,0,0,0,0,0,0,0
2019-08-04,0,0,0,0,0,0,4,4,0
2019-08-05,0,0,0,1,2,1,0,0,0
2019-08-06,0,0,4,0,0,0,0,0,0
2019-08-07,0,0,0,0,0,0,0,0,0
2019-08-08,0,0,0,4,14,0,2,0,0
2019-08-09,0,0,2,0,2,3,2,2,0
2019-08-10,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,0,0,0,0,0,0,0
2019-08-12,0,0,0,0,7,0,0,0,0
2019-08-13,0,0,0,0,4,0,0,0,0
2019-08-14,4,0,0,4,10,0,15,10,0
2019-08-15,0,0,1,1,1,0,0,0,0
2019-08-16,0,0,0,0,1,1,1,0,0
2019-08-17,0,0,0,0,0,0,0,0,0
2019-08-18,0,1,0,1,1,0,1,0,0
2019-08-19,0,0,0,0,1,0,1,2,0
2019-08-20,0,0,2,2,7,0,2,2,0
2019-08-21,0,0,0,0,2,0,6,3,0
2019-08-22,0,0,1,0,4,7,0,0,0
2019-08-23,0,0,0,0,7,0,0,1,0
2019-08-24,0,0,0,0,0,1,0,0,0
2019-08-25,0,0,0,0,12,4,0,0,0
2019-08-26,0,0,0,0,0,0,0,1,0
2019-08-27,0,0,0,4,0,0,2,0,0
2019-08-28,2,0,0,0,2,2,0,0,0
2019-08-29,0,0,0,0,11,0,0,3,0
2019-08-30,0,0,0,1,12,0,1,1,0
2019-08-31,0,1,0,1,0,5,0,1,1
2019-09-01,0,0,0,0,5,0,1,0,0
2019-09-02,0,0,7,0,14,1,8,3,0
2019-09-03,4,0,4,0,4,0,0,4,0
2019-09-04,0,0,3,0,6,0,10,7,0
2019-09-05,1,0,0,2,24,5,1,6,1
2019-09-06,0,0,0,0,1,4,9,1,1
2019-09-07,0,0,0,0,0,0,0,0,0
2019-09-08,0,0,0,0,0,0,0,0,0
2019-09-09,0,0,0,0,7,3,2,2,0
2019-09-10,0,0,1,1,4,0,4,7,4
2019-09-11,0,0,6,0,2,4,6,0,0
2019-09-12,0,0,0,0,0,3,0,4,0
2019-09-13,0,0,0,0,0,0,0,0,2
2019-09-14,0,8,0,1,10,0,0,0,0
2019-09-15,0,0,0,0,0,0,4,0,0
2019-09-16,0,0,0,0,1,0,0,0,0
2019-09-17,0,0,0,0,5,0,0,2,5
2019-09-18,0,0,2,0,8,0,5,2,0
2019-09-19,0,0,4,4,10,2,6,0,0
2019-09-20,0,0,2,0,44,1,31,15,0
2019-09-21,0,4,0,3,4,0,0,0,0
2019-09-22,0,0,5,0,14,0,12,8,4
2019-09-23,0,0,0,0,67,6,44,5,11
2019-09-24,0,0,0,0,66,5,44,5,11
2019-09-25,0,0,0,0,1,2,0,1,0
2019-09-26,0,0,0,1,7,1,15,5,0
2019-09-27,0,0,8,0,13,1,1,4,2
2019-09-28,0,0,0,0,0,0,0,0,0
2019-09-29,0,0,0,0,3,0,0,0,0
2019-09-30,0,0,0,0,5,0,4,4,0
2019-10-01,0,1,0,0,3,0,0,0,0
2019-10-02,0,0,0,0,1,1,0,0,0
2019-10-03,0,0,1,0,1,1,0,0,1
2019-10-04,0,0,0,0,3,0,0,2,0
2019-10-05,0,0,0,0,0,0,0,0,0
2019-10-06,0,0,0,0,0,0,1,0,0
2019-10-07,0,0,0,0,1,1,0,0,0
2019-10-08,0,0,0,0,4,8,0,0,8
2019-10-09,0,0,0,0,1,1,0,0,1
2019-10-10,0,0,0,0,5,2,1,4,2
2019-10-11,0,0,1,0,0,0,9,0,0
2019-10-12,0,2,0,0,11,0,3,10,1
2019-10-13,0,0,0,0,5,0,0,5,0
2019-10-14,0,0,0,0,1,1,0,0,0
2019-10-15,0,0,0,0,0,0,0,0,0
2019-10-16,0,0,0,0,5,0,4,4,4
2019-10-17,0,0,0,0,8,1,0,0,0
2019-10-18,0,0,0,0,1,0,6,0,0
2019-10-19,0,0,0,0,0,0,0,0,0
2019-10-20,0,0,0,0,0,0,0,0,0
2019-10-21,0,0,0,1,1,0,1,0,0
2019-10-22,0,0,0,0,1,0,5,0,0
2019-10-23,0,0,0,0,2,1,0,0,4
2019-10-24,0,0,2,0,7,1,8,1,0
2019-10-25,0,0,1,0,1,0,2,0,6
2019-10-26,0,0,0,0,9,0,1,0,0
2019-10-27,0,0,0,0,0,0,1,0,0
2019-10-28,0,0,0,0,2,0,5,2,0
2019-10-29,0,0,0,0,1,0,0,0,0
2019-10-30,0,3,5,3,8,4,6,3,0
2019-10-31,0,1,0,0,0,1,0,0,0
2019-11-01,0,0,1,0,13,0,8,11,0
2019-11-02,0,0,0,0,1,1,0,1,0
2019-11-03,0,0,0,0,3,0,0,0,0
2019-11-04,0,0,0,1,12,1,6,2,0
2019-11-05,0,0,0,0,11,0,3,2,0
2019-11-06,0,0,0,1,5,0,0,0,0
2019-11-07,0,4,4,4,17,2,0,8,4
2019-11-08,0,0,0,0,13,2,7,3,4
2019-11-09,0,0,0,0,0,0,9,0,0
2019-11-10,0,0,10,0,8,0,10,8,0
2019-11-11,0,0,0,0,1,1,2,0,0
2019-11-12,0,0,0,0,7,1,6,0,0
2019-11-13,0,0,0,0,4,0,0,3,0
2019-11-14,0,0,0,0,6,1,2,0,0
2019-11-15,0,0,0,0,1,0,4,1,0
2019-11-16,0,0,0,0,0,0,0,0,0
2019-11-17,0,0,0,0,3,0,0,0,0
2019-11-18,0,0,0,0,6,0,12,4,0
2019-11-19,0,0,3,0,0,0,0,0,0
2019-11-20,0,0,0,0,3,0,1,0,0
2019-11-21,0,0,0,0,6,0,0,1,0
2019-11-22,0,0,2,1,2,2,5,6,6
2019-11-23,0,0,0,0,0,0,0,0,0
2019-11-24,0,0,4,0,8,6,8,1,4
2019-11-25,0,0,3,0,9,0,0,0,0
2019-11-26,0,0,7,4,9,5,8,8,8
2019-11-27,0,0,6,0,0,3,15,16,16
2019-11-28,0,0,0,0,9,0,1,0,0
2019-11-29,0,0,0,0,8,0,1,0,0
2019-11-30,0,0,0,0,0,5,5,5,0
2019-12-01,0,0,0,0,0,5,7,5,0
2019-12-02,0,0,0,0,2,0,0,2,0
2019-12-03,0,0,0,0,6,0,0,2,0
2019-12-04,0,0,2,0,9,0,3,5,6
2019-12-05,0,0,6,0,12,3,13,15,0
2019-12-06,0,0,0,0,4,6,6,2,1
2019-12-07,0,0,0,0,0,0,0,0,0
2019-12-08,0,0,0,0,0,0,0,0,0
2019-12-09,0,0,0,0,2,0,0,0,0
2019-12-10,0,0,4,4,3,0,9,0,0
2019-12-11,0,0,1,0,0,0,3,1,0
